tt	A549	GM12878	H1hESC	HeLaS3	HepG2	HT1080	HUVEC	IMR90	K562	MCF7	NCIH460	NHEK	SKMEL5	SKNDZ	SKNSH
Feature#13	0.000422716	0.80558415	0.543906591	0.781217397	0.539299549	0.156223507	0.00745644	0.513324376	0.549173718	0.035691162	0.882851722	0.110013251	0.502766178	0.490786963	0.026733432
Feature#14	2.34E-07	1.16E-05	2.11E-12	0.158719151	1.43E-06	0.00118385	2.14E-11	0.000725703	0.006465249	4.90E-14	0.950694096	0.064898303	0.136765733	0.032975212	0.010215446
Feature#15	0.003449274	1.23E-12	0.022469925	0.564637081	2.81E-08	0.159024784	1.62E-06	0.000888906	1.00E+00	8.99E-06	0.218518903	0.602130907	0.476582148	9.57E-05	0.209472558
Feature#16	1.00E+00	1.34E-07	5.81E-25	4.86E-08	2.60E-17	0.268518237	3.47E-13	0.926229613	8.99E-05	3.14E-10	0.004585307	0.000326782	0.003750809	0.000319797	6.93E-07
Feature#17	5.10E-08	1.00E+00	3.39E-24	0.014121444	0.000453539	0.026454299	0.014465767	0.551163832	0.000601947	0.186671871	0.598809381	0.925728393	0.574569899	0.022079474	0.194424136
Feature#18	5.94E-09	1.00E+00	6.01E-12	0.028854861	2.49E-06	0.391840322	1.62E-06	0.794193711	8.83E-10	0.000379808	0.344409521	0.651527695	0.15387965	0.000299612	0.345941463
Feature#19	2.82E-05	3.02E-11	1.00E+00	0.000511335	1.64E-13	0.201953074	2.51E-15	0.868961622	8.61E-06	5.26E-12	0.047919202	0.00233814	0.001258915	5.33E-05	0.070222393
Feature#20	3.85E-10	2.86E-09	1.00E+00	0.004079899	1.88E-12	0.757423378	1.12E-15	0.504951176	2.63E-06	6.37E-13	0.416689537	0.017624225	0.024889408	3.83E-05	0.137369612
Feature#21	0.001126448	0.764574535	1.00E+00	0.004134651	0.957505718	7.31E-06	0.06671503	0.000182215	0.11115639	0.803480343	0.131993449	0.069395039	0.886339207	0.860658077	2.37E-10
Feature#22	0.09403663	0.000289787	0.000209418	0.047431624	1.21E-07	0.274343685	1.00E+00	0.682077168	3.86E-05	0.000820356	0.144842857	0.676387274	0.028530126	0.00688073	0.40022132
